F:\anaconda\python.exe F:\Pycharm\PyCharm\plugins\python\helpers\pydev\pydevconsole.py --mode=client --port=2558
import sys; print('Python %s on %s' % (sys.version, sys.platform))
sys.path.extend(['D:\\robot\\RunningRobot', 'D:/robot/RunningRobot'])
Python 3.7.6 (default, Jan  8 2020, 20:23:39) [MSC v.1916 64 bit (AMD64)]
Type 'copyright', 'credits' or 'license' for more information
IPython 7.12.0 -- An enhanced Interactive Python. Type '?' for help.
PyDev console: using IPython 7.12.0
Python 3.7.6 (default, Jan  8 2020, 20:23:39) [MSC v.1916 64 bit (AMD64)] on win32
In[2]: runfile('D:/robot/RunningRobot/mobilenet/train.py', wdir='D:/robot/RunningRobot/mobilenet')
epoch:2,loss:0.1047
epoch:2,loss:0.1135
epoch:2,loss:0.1092
epoch:2,loss:0.1536
epoch:2,loss:0.1468
epoch:2,loss:0.1413
epoch:2,loss:0.4101
epoch:2,loss:0.1607
epoch:2,loss:0.1058
epoch:2,loss:0.0293
epoch:2,loss:0.1003
epoch:2,loss:0.0260
epoch:2,loss:0.3158
epoch:2,loss:0.0483
epoch:2,loss:0.1254
epoch:2,loss:0.0767
epoch:2,loss:0.0794
epoch:2,loss:0.1146
epoch:2,loss:0.0325
epoch:2,loss:0.1623
epoch:2,loss:0.0742
epoch:2,loss:0.0728
epoch:2,loss:0.3739
epoch:2,loss:0.0522
epoch:2,loss:0.0944
epoch:2,loss:0.2705
epoch:2,loss:0.2072
epoch:2,loss:0.0356
============================================
准确率由： tensor(0.5586) 上升至： tensor(0.9428) 已更新并保存权值为weights/best.pkl
第2个epoch的train_data识别准确率为：94%
epoch:3,loss:0.0288
epoch:3,loss:0.0738
epoch:3,loss:0.1025
epoch:3,loss:0.0773
epoch:3,loss:0.0422
epoch:3,loss:0.0581
epoch:3,loss:0.2395
epoch:3,loss:0.0898
epoch:3,loss:0.2032
epoch:3,loss:0.0516
epoch:3,loss:0.0510
epoch:3,loss:0.1564
epoch:3,loss:0.0434
epoch:3,loss:0.0301
epoch:3,loss:0.1044
epoch:3,loss:0.5071
epoch:3,loss:0.0835
epoch:3,loss:0.0599
epoch:3,loss:0.0212
epoch:3,loss:0.0565
epoch:3,loss:0.2720
epoch:3,loss:0.0613
epoch:3,loss:0.0516
epoch:3,loss:0.0393
epoch:3,loss:0.0600
epoch:3,loss:0.0447
epoch:3,loss:0.2116
epoch:3,loss:0.0609
epoch:3,loss:0.0286
epoch:3,loss:0.1208
epoch:3,loss:0.1735
epoch:3,loss:0.0105
epoch:3,loss:0.0762
epoch:3,loss:0.1436
epoch:3,loss:0.0457
epoch:3,loss:0.1164
epoch:3,loss:0.0184
epoch:3,loss:0.1525
epoch:3,loss:0.0807
epoch:3,loss:0.0118
epoch:3,loss:0.5627
epoch:3,loss:0.1265
epoch:3,loss:0.0858
epoch:3,loss:0.0110
epoch:3,loss:0.0489
epoch:3,loss:0.0164
epoch:3,loss:0.0779
epoch:3,loss:0.0248
epoch:3,loss:0.0255
epoch:3,loss:0.0104
epoch:3,loss:0.0677
epoch:3,loss:0.0120
epoch:3,loss:0.0089
epoch:3,loss:0.0411
epoch:3,loss:0.0190
epoch:3,loss:0.0508
epoch:3,loss:0.3537
epoch:3,loss:0.0712
epoch:3,loss:0.0481
epoch:3,loss:0.0379
epoch:3,loss:0.1808
epoch:3,loss:0.0106
